pub_date;amnt_base;amnt_trade;id;price;type;user
16 декабря 2017 г. 22:20:09;0.0001280000;400.0000000000;336726;0.0000003200;sell;vaniahilkov
16 декабря 2017 г. 22:20:09;0.0001280000;400.0000000000;336725;0.0000003200;buy;vaniahilkov
16 декабря 2017 г. 22:20:00;0.0001280000;400.0000000000;336724;0.0000003200;sell;vaniahilkov
16 декабря 2017 г. 22:20:00;0.0001280000;400.0000000000;336723;0.0000003200;buy;vaniahilkov
16 декабря 2017 г. 22:19:48;0.0001280000;400.0000000000;336716;0.0000003200;sell;vaniahilkov
16 декабря 2017 г. 22:19:48;0.0001280000;400.0000000000;336715;0.0000003200;buy;vaniahilkov
16 декабря 2017 г. 22:19:03;0.0001280000;400.0000000000;336698;0.0000003200;sell;vaniahilkov
16 декабря 2017 г. 22:19:03;0.0001280000;400.0000000000;336697;0.0000003200;buy;vaniahilkov
16 декабря 2017 г. 22:18:58;0.0001280000;400.0000000000;336696;0.0000003200;sell;vaniahilkov
16 декабря 2017 г. 22:18:58;0.0001280000;400.0000000000;336695;0.0000003200;buy;vaniahilkov
16 декабря 2017 г. 22:18:52;0.0001280000;400.0000000000;336694;0.0000003200;sell;vaniahilkov
16 декабря 2017 г. 22:18:52;0.0001280000;400.0000000000;336693;0.0000003200;buy;vaniahilkov
16 декабря 2017 г. 22:18:47;0.0001280000;400.0000000000;336690;0.0000003200;sell;vaniahilkov
16 декабря 2017 г. 22:18:47;0.0001280000;400.0000000000;336689;0.0000003200;buy;vaniahilkov
16 декабря 2017 г. 22:18:40;0.0001280000;400.0000000000;336688;0.0000003200;sell;vaniahilkov
16 декабря 2017 г. 22:18:40;0.0001280000;400.0000000000;336687;0.0000003200;buy;vaniahilkov
16 декабря 2017 г. 22:18:21;0.0001280000;400.0000000000;336678;0.0000003200;sell;vaniahilkov
16 декабря 2017 г. 22:18:21;0.0001280000;400.0000000000;336677;0.0000003200;buy;vaniahilkov
16 декабря 2017 г. 22:18:03;0.0001330000;415.0000000000;336672;0.0000003205;sell;vaniahilkov
16 декабря 2017 г. 22:18:03;0.0001330000;415.0000000000;336671;0.0000003205;buy;vaniahilkov
16 декабря 2017 г. 22:14:25;0.0001330000;417.0000000000;336566;0.0000003189;buy;spiderco
16 декабря 2017 г. 22:14:25;0.0001330000;417.0000000000;336565;0.0000003189;sell;vaniahilkov
16 декабря 2017 г. 22:11:05;0.0001060000;330.1150000000;336496;0.0000003211;buy;spiderco
16 декабря 2017 г. 22:11:05;0.0001060000;330.1150000000;336495;0.0000003211;sell;metla13
16 декабря 2017 г. 21:54:56;0.0003430000;1071.8512870000;335958;0.0000003200;buy;spiderco
16 декабря 2017 г. 21:54:56;0.0003430000;1071.8512870000;335957;0.0000003200;sell;vitbit
16 декабря 2017 г. 21:48:17;0.0008810000;2751.6404480000;335732;0.0000003202;buy;spiderco
16 декабря 2017 г. 21:48:17;0.0008810000;2751.6404480000;335731;0.0000003202;sell;2847294d
16 декабря 2017 г. 21:45:15;0.0001580000;495.0038900000;335662;0.0000003192;buy;spiderco
16 декабря 2017 г. 21:45:15;0.0001580000;495.0038900000;335661;0.0000003192;sell;monomah
16 декабря 2017 г. 21:44:48;0.0014080000;4400.0000000000;335648;0.0000003200;buy;spiderco
16 декабря 2017 г. 21:44:48;0.0014080000;4400.0000000000;335647;0.0000003200;sell;vitbit
16 декабря 2017 г. 21:37:49;0.0001350000;500.0000000000;335478;0.0000002700;buy;Yurchik
