pub_date;amnt_base;amnt_trade;id;price;type;user;
18 הוךאבנÿ 2017 ד. 21:05:10;317.5175880000;0.6813680000;382003;466.0001467636;sell;fotopik;
18 הוךאבנÿ 2017 ד. 21:05:10;307.3414460000;0.6595310000;382002;466.0000000000;buy;Theurvaeth;
18 הוךאבנÿ 2017 ד. 21:05:10;307.3414460000;0.6595310000;382001;466.0000000000;sell;fotopik;
18 הוךאבנÿ 2017 ד. 20:23:55;428.8675250000;0.9028790000;381026;475.0000000000;sell;Lisiyjeka;
18 הוךאבנÿ 2017 ד. 20:23:55;428.8675250000;0.9028790000;381025;475.0000000000;buy;ankka1981;
18 הוךאבנÿ 2017 ד. 21:50:47;1.2350000000;0.0026000000;383042;475.0000000000;sell;Lisiyjeka;
18 הוךאבנÿ 2017 ד. 21:50:47;1.2350000000;0.0026000000;383041;475.0000000000;buy;financeuser1;
18 הוךאבנÿ 2017 ד. 21:49:45;179.4786020000;0.3851470000;383036;466.0002596411;sell;fio43;
18 הוךאבנÿ 2017 ד. 21:49:45;179.4786020000;0.3851470000;383035;466.0002596411;buy;Katerinka74;
18 הוךאבנÿ 2017 ד. 21:46:44;6.8281980000;0.0146530000;383004;465.9931754590;buy;Theurvaeth;
18 הוךאבנÿ 2017 ד. 21:46:44;6.8281980000;0.0146530000;383003;465.9931754590;sell;fio43;
18 הוךאבנÿ 2017 ד. 22:50:52;102.4687400000;0.2198900000;384542;466.0000000000;buy;Katerinka74;
18 הוךאבנÿ 2017 ד. 22:50:52;102.4687400000;0.2198900000;384541;466.0000000000;sell;Slavanchik7;
19 הוךאבנÿ 2017 ד. 1:09:23;3.7049460000;0.0079510000;387428;465.9723305245;buy;Katerinka74;
19 הוךאבנÿ 2017 ד. 1:09:23;3.7049460000;0.0079510000;387427;465.9723305245;sell;AlexVoitenko;
19 הוךאבנÿ 2017 ד. 1:08:23;736.2800000000;1.5800000000;387408;466.0000000000;buy;Katerinka74;
19 הוךאבנÿ 2017 ד. 1:08:23;736.2800000000;1.5800000000;387407;466.0000000000;sell;AlexVoitenko;
19 הוךאבנÿ 2017 ד. 0:55:52;32.0625000000;0.0675000000;387098;475.0000000000;sell;Lisiyjeka;
19 הוךאבנÿ 2017 ד. 0:55:52;32.0625000000;0.0675000000;387097;475.0000000000;buy;irmak351;
19 הוךאבנÿ 2017 ד. 1:52:07;534.4301000000;1.1251160000;387938;475.0000000000;sell;Lisiyjeka;
19 הוךאבנÿ 2017 ד. 1:52:07;534.4301000000;1.1251160000;387937;475.0000000000;buy;Skoch;
19 הוךאבנÿ 2017 ד. 1:13:39;8.5500000000;0.0180000000;387496;475.0000000000;sell;Lisiyjeka;
19 הוךאבנÿ 2017 ד. 1:13:39;8.5500000000;0.0180000000;387495;475.0000000000;buy;AntonyukVV;
